Corrida,seed,best_binary_vector,precision_full,recall_full,f1_full,precision_pso,recall_pso,f1_pso,num_features_pso,rd_pso,best_fitness_final,tiempo_ejecucion
0,0,000100001010101000010000101011,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9473684210526315,0.9629629629629629,0.9585253456221198,10,0.6666666666666667,0.06374999999999997,2.4524614810943604
1,1,011010000010000000001100110000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9722222222222222,0.967741935483871,8,0.7333333333333334,0.04250000000000002,2.19157338142395
2,2,000100000010110000000010100100,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9532163742690059,0.9444444444444444,0.9622641509433962,7,0.7666666666666666,0.04250000000000002,2.481614828109741
3,3,000010100010100000101110011000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9532163742690059,0.9629629629629629,0.9629629629629629,10,0.6666666666666667,0.04583333333333335,2.6060099601745605
4,4,001100011010110001001100100010,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9532163742690059,0.9814814814814815,0.9636363636363636,12,0.6,0.05916666666666667,2.7396767139434814
5,5,010001110010010000001000101000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9629629629629629,0.9674418604651163,9,0.7,0.05374999999999998,2.727733612060547
6,6,110101001110110010000010101000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9766081871345029,0.9814814814814815,0.9814814814814815,13,0.5666666666666667,0.07374999999999998,2.75156307220459
7,7,100010000010101100001101010011,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9766081871345029,0.9814814814814815,0.9814814814814815,12,0.6,0.051249999999999955,2.74668288230896
8,8,000001010010100111001101111101,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9629629629629629,0.9674418604651163,15,0.5,0.06583333333333335,2.726710796356201
9,9,100000011000010000110101110000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9814814814814815,0.9680365296803652,10,0.6666666666666667,0.04916666666666668,2.754613161087036
10,10,011101000001001000100111000011,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9907407407407407,0.9683257918552036,12,0.6,0.0670833333333333,2.2873830795288086
11,11,000100001100111000000000100000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.935672514619883,0.9537037037037037,0.9493087557603687,7,0.7666666666666666,0.04916666666666668,2.3247859477996826
12,12,000000010011101001001101000101,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9722222222222222,0.967741935483871,11,0.6333333333333333,0.04916666666666668,2.5743794441223145
13,13,100000000011001000101101010001,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9473684210526315,0.9722222222222222,0.958904109589041,10,0.6666666666666667,0.051249999999999955,2.7287065982818604
14,14,101010001001100000101000001010,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9473684210526315,0.9814814814814815,0.9592760180995475,10,0.6666666666666667,0.06374999999999997,2.6748507022857666
15,15,110111110000000100011000101101,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9707602339181286,0.9722222222222222,0.9767441860465116,14,0.5333333333333333,0.07041666666666663,2.6847996711730957
16,16,001010100010010001000110110111,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9629629629629629,0.9674418604651163,13,0.5666666666666667,0.055833333333333346,2.6937997341156006
17,17,100010010000010000000101010000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9532163742690059,0.9629629629629629,0.9629629629629629,7,0.7666666666666666,0.04583333333333335,2.6981892585754395
18,18,100110011010100000010111010101,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9532163742690059,0.9722222222222222,0.963302752293578,14,0.5333333333333333,0.05916666666666667,2.665924549102783
19,19,100010000001010000010110101010,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9629629629629629,0.9674418604651163,10,0.6666666666666667,0.06374999999999997,2.7286806106567383
20,20,100010000010010000101100010000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9814814814814815,0.9680365296803652,8,0.7333333333333334,0.04250000000000002,2.7127623558044434
21,21,000001101110110000000001010110,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9239766081871345,0.9351851851851852,0.9395348837209302,11,0.6333333333333333,0.060416666666666646,2.7015774250030518
22,22,010011100011010000010001110000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9649122807017544,0.9629629629629629,0.9719626168224299,11,0.6333333333333333,0.05250000000000001,2.7267115116119385
23,23,000100110111010000000101000000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9473684210526315,0.9537037037037037,0.958139534883721,9,0.7,0.05374999999999998,2.761644124984741
24,24,000010001011110000001000111100,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9532163742690059,0.9537037037037037,0.9626168224299065,11,0.6333333333333333,0.04583333333333335,2.731720447540283
25,25,000110000000100000000111010000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9629629629629629,0.9674418604651163,7,0.7666666666666666,0.04124999999999995,2.757628917694092
26,26,001010010110010000000110111000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9649122807017544,0.9722222222222222,0.9722222222222222,11,0.6333333333333333,0.05250000000000001,2.748309373855591
27,27,100010010010100100000101010001,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9649122807017544,0.9722222222222222,0.9722222222222222,10,0.6666666666666667,0.04916666666666668,2.723719835281372
28,28,011010110111000011100100011010,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9722222222222222,0.967741935483871,15,0.5,0.07041666666666663,2.713780164718628
29,29,000010000000110000000110100101,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9532163742690059,0.9722222222222222,0.963302752293578,8,0.7333333333333334,0.04583333333333335,2.723900556564331
